task	block	trial	targetangle_deg	time	handx_m	handy_m	tapx_px	tapx_px
4	241	482	85	5736	493.877033835	507.702655044	775	798
4	242	484	95	5848	562.122966165	507.702655044	708	784
4	243	486	55	5680	303.43500045	438.387423539	1097	679
4	244	488	125	5483	752.56499955	438.387423539	436	723
4	245	490	115	5125	693.462288447	472.510389704	608	770
4	246	492	65	6340	362.537711553	472.510389704	953	747
4	247	494	105	5559	629.332089437	495.851873262	750	793
4	248	496	75	5720	426.667910563	495.851873262	860	787
4	249	498	95	5891	562.122966165	507.702655044	783	803
4	250	500	125	5003	752.56499955	438.387423539	515	746
4	251	502	85	5308	493.877033835	507.702655044	830	800
4	252	504	55	4833	303.43500045	438.387423539	1101	689
4	253	506	85	5172	493.877033835	507.702655044	759	781
4	254	508	55	4927	303.43500045	438.387423539	1136	664
4	255	510	95	5185	562.122966165	507.702655044	757	803
4	256	512	125	6257	752.56499955	438.387423539	781	807
4	257	514	105	5257	629.332089437	495.851873262	758	781
4	258	516	75	5289	426.667910563	495.851873262	845	798
4	259	518	115	5193	693.462288447	472.510389704	464	723
4	260	520	65	5245	362.537711553	472.510389704	955	753
4	261	522	55	5192	303.43500045	438.387423539	1066	720
4	262	524	125	5844	752.56499955	438.387423539	460	718
4	263	526	85	5358	493.877033835	507.702655044	824	794
4	264	528	95	6288	562.122966165	507.702655044	639	762
4	265	530	115	6202	693.462288447	472.510389704	618	770
4	266	532	105	5671	629.332089437	495.851873262	695	799
4	267	534	65	5184	362.537711553	472.510389704	966	753
4	268	536	75	5438	426.667910563	495.851873262	909	785
4	269	538	65	5465	362.537711553	472.510389704	1042	608
4	270	540	75	5967	426.667910563	495.851873262	863	661
4	271	542	115	5449	693.462288447	472.510389704	461	659
4	272	544	105	5480	629.332089437	495.851873262	511	764
4	273	546	125	5530	752.56499955	438.387423539	334	606
4	274	548	55	5930	303.43500045	438.387423539	1064	720
4	275	550	95	5538	562.122966165	507.702655044	664	781
4	276	552	85	5601	493.877033835	507.702655044	791	798
4	277	554	75	5698	426.667910563	495.851873262	888	774
4	278	556	105	5345	629.332089437	495.851873262	637	788
4	279	558	65	6287	362.537711553	472.510389704	966	752
4	280	560	115	5582	693.462288447	472.510389704	419	675
4	281	562	95	6156	562.122966165	507.702655044	732	784
4	282	564	125	5416	752.56499955	438.387423539	350	584
4	283	566	85	5136	493.877033835	507.702655044	806	804
4	284	568	55	5160	303.43500045	438.387423539	1111	705
4	285	570	125	5386	752.56499955	438.387423539	319	597
4	286	572	95	5233	562.122966165	507.702655044	778	795
4	287	574	55	5045	303.43500045	438.387423539	1097	706
4	288	576	85	5063	493.877033835	507.702655044	768	803
