task	block	trial	targetangle_deg	rotation_deg	time	cursorx	cursory	hand_x	hand_Y	homex	homey	targetposx	targetposy	step
4	241	481	80	0	2	527.798962645	118.815506543	-0.000117	-0.085335	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	22	527.779381289	118.926557932	-0.000146	-0.085361	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	42	527.758853094	119.042979113	-0.000175	-0.085388	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	62	527.738767932	119.156887724	-0.000203	-0.085414	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	82	527.714885291	119.292332912	-0.000190	-0.085466	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	102	527.674114404	119.523556103	-0.000248	-0.085519	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	122	527.632973573	119.756877348	-0.000306	-0.085571	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	142	527.569371308	120.117583719	-0.000434	-0.085624	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	162	527.523762941	120.376241619	-0.000533	-0.085650	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	182	527.479668977	120.62631092	-0.000591	-0.085703	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	202	527.453717855	120.773487043	-0.000661	-0.085702	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	222	527.431315862	120.900535062	-0.000690	-0.085729	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	242	527.409320734	121.025275629	-0.000719	-0.085755	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	262	527.402949377	121.06140939	-0.000761	-0.085729	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	282	527.396148088	121.09998142	-0.000802	-0.085702	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	302	527.39856139	121.0862949	-0.000911	-0.085545	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	322	527.386154082	121.15666024	-0.001059	-0.085229	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	342	527.068857236	122.956140076	-0.001579	-0.084544	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	362	526.402775756	126.733675863	-0.002443	-0.083593	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	382	525.451716895	132.127398691	-0.003651	-0.082373	528	117.675367047	460.013764046	503.244471	0
4	241	481	80	0	402	524.269101515	138.834343799	-0.005158	-0.080906	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	405	524.269101515	138.834343799	-0.005158	-0.080906	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	422	522.887102663	146.672048758	-0.006949	-0.079242	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	442	521.366933918	155.293354124	-0.008910	-0.077405	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	462	519.629847821	165.144858928	-0.011105	-0.075256	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	482	517.648357255	176.382450349	-0.013542	-0.072734	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	502	515.529725659	188.397807201	-0.016055	-0.069943	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	522	513.215448921	201.522722795	-0.018749	-0.066849	528	117.675367047	460.013764046	503.244471	1
4	241	481	80	0	542	510.812910834	215.148193369	-0.021460	-0.063558	528	117.675367047	460.013764046	503.244471	1
