blockno	trialno	time	Xmouse	Ymouse	Xcursor	Ycursor	Xtarget	Ytarget	target_angle	rotation	jitter	feedback
1	1	1.6837	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.7004	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.7171	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.7337	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.7504	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.7671	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.7838	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.8004	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.8171	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.8338	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.8504	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.8671	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.8838	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.9005	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.9171	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.9338	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.9505	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.9671	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	1.9838	-8	4	-8	4	-213.33	369.5	120	0	0	0
1	1	2.0005	-6	-1	-6	-1	-213.33	369.5	120	0	0	0
1	1	2.0171	4	-11	4	-11	-213.33	369.5	120	0	0	0
1	1	2.0338	7	-15	7	-15	-213.33	369.5	120	0	0	0
1	1	2.0505	14	-18	14	-18	-213.33	369.5	120	0	0	0
1	1	2.0672	21	-21	21	-21	-213.33	369.5	120	0	0	0
1	1	2.0838	24	-23	24	-23	-213.33	369.5	120	0	0	0
1	1	2.1005	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.1172	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.1338	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.1505	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.1672	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.1838	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.2005	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.2172	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.2339	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.2506	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.2672	27	-24	27	-24	-213.33	369.5	120	0	0	0
1	1	2.2839	-63	26	-63	26	-213.33	369.5	120	0	0	0
1	1	2.3006	-117	114	-117	114	-213.33	369.5	120	0	0	0
1	1	2.3172	-137	186	-137	186	-213.33	369.5	120	0	0	0
1	1	2.3339	-154	247	-154	247	-213.33	369.5	120	0	0	0
1	1	2.3506	-177	330	-177	330	-213.33	369.5	120	0	0	0
1	1	2.3672	-201	408	-201	408	-213.33	369.5	120	0	0	0
1	1	2.3839	-233	470	-233	470	-213.33	369.5	120	0	0	0
1	1	2.4006	-253	500	-253	500	-213.33	369.5	120	0	0	0
1	1	2.4172	-258	516	-258	516	-213.33	369.5	120	0	0	0
1	1	2.4339	-259	519	-259	519	-213.33	369.5	120	0	0	0
1	1	2.4506	-259	523	-259	523	-213.33	369.5	120	0	0	0
1	1	2.4673	-259	526	-259	526	-213.33	369.5	120	0	0	0
1	1	2.4839	-259	529	-259	529	-213.33	369.5	120	0	0	0
1	1	2.5006	-259	529	-259	529	-213.33	369.5	120	0	0	0
1	1	2.5173	-259	529	-259	529	-213.33	369.5	120	0	0	0
1	1	2.5339	-259	529	-259	529	-213.33	369.5	120	0	0	0
1	1	2.5506	-262	530	-262	530	-213.33	369.5	120	0	0	0
1	1	2.5673	-271	532	-271	532	-213.33	369.5	120	0	0	0
1	1	2.5839	-285	535	-285	535	-213.33	369.5	120	0	0	0
1	1	2.6006	-290	536	-290	536	-213.33	369.5	120	0	0	0
1	1	2.6173	-307	536	-307	536	-213.33	369.5	120	0	0	0
1	1	2.634	-311	534	-311	534	-213.33	369.5	120	0	0	0
1	1	2.6506	-311	532	-311	532	-213.33	369.5	120	0	0	0
1	1	2.6673	-312	532	-312	532	-213.33	369.5	120	0	0	0
1	1	2.684	-312	530	-312	530	-213.33	369.5	120	0	0	0
1	1	2.7006	-312	529	-312	529	-213.33	369.5	120	0	0	0
1	1	2.7173	-312	529	-312	529	-213.33	369.5	120	0	0	0
1	1	2.734	-312	529	-312	529	-213.33	369.5	120	0	0	0
1	1	2.7507	-312	529	-312	529	-213.33	369.5	120	0	0	0
1	1	2.7673	-308	529	-308	529	-213.33	369.5	120	0	0	0
1	1	2.784	-291	541	-291	541	-213.33	369.5	120	0	0	0
1	1	2.8007	-275	556	-275	556	-213.33	369.5	120	0	0	0
1	1	2.8174	-260	571	-260	571	-213.33	369.5	120	0	0	0
1	1	2.834	-255	577	-255	577	-213.33	369.5	120	0	0	0
1	1	2.8507	-251	584	-251	584	-213.33	369.5	120	0	0	0
1	1	2.8673	-247	589	-247	589	-213.33	369.5	120	0	0	0
1	1	2.884	-246	591	-246	591	-213.33	369.5	120	0	0	0
1	1	2.9007	-245	591	-245	591	-213.33	369.5	120	0	0	0
1	1	2.9174	-245	591	-245	591	-213.33	369.5	120	0	0	0
1	1	2.934	-245	592	-245	592	-213.33	369.5	120	0	0	0
1	1	2.9507	-239	592	-239	592	-213.33	369.5	120	0	0	0
1	1	2.9674	-233	592	-233	592	-213.33	369.5	120	0	0	0
1	1	2.984	-220	590	-220	590	-213.33	369.5	120	0	0	0
1	1	3.0008	-205	588	-205	588	-213.33	369.5	120	0	0	0
1	1	3.0174	-179	583	-179	583	-213.33	369.5	120	0	0	0
1	1	3.034	-161	577	-161	577	-213.33	369.5	120	0	0	0
1	1	3.0507	-140	566	-140	566	-213.33	369.5	120	0	0	0
1	1	3.0674	-122	550	-122	550	-213.33	369.5	120	0	0	0
1	1	3.0841	-109	536	-109	536	-213.33	369.5	120	0	0	0
1	1	3.1007	-103	522	-103	522	-213.33	369.5	120	0	0	0
1	1	3.1174	-101	508	-101	508	-213.33	369.5	120	0	0	0
1	1	3.1341	-101	490	-101	490	-213.33	369.5	120	0	0	0
1	1	3.1508	-112	470	-112	470	-213.33	369.5	120	0	0	0
1	1	3.1674	-125	455	-125	455	-213.33	369.5	120	0	0	0
1	1	3.1841	-139	446	-139	446	-213.33	369.5	120	0	0	0
1	1	3.2008	-150	444	-150	444	-213.33	369.5	120	0	0	0
1	1	3.2174	-164	441	-164	441	-213.33	369.5	120	0	0	0
1	1	3.2341	-171	440	-171	440	-213.33	369.5	120	0	0	0
1	1	3.2508	-177	439	-177	439	-213.33	369.5	120	0	0	0
1	1	3.2674	-187	436	-187	436	-213.33	369.5	120	0	0	0
1	1	3.2841	-197	435	-197	435	-213.33	369.5	120	0	0	0
1	1	3.3008	-200	435	-200	435	-213.33	369.5	120	0	0	0
1	1	3.3175	-206	435	-206	435	-213.33	369.5	120	0	0	0
1	1	3.3341	-213	433	-213	433	-213.33	369.5	120	0	0	0
1	1	3.3508	-220	430	-220	430	-213.33	369.5	120	0	0	0
1	1	3.3675	-227	430	-227	430	-213.33	369.5	120	0	0	0
1	1	3.3841	-232	429	-232	429	-213.33	369.5	120	0	0	0
1	1	3.4008	-233	429	-233	429	-213.33	369.5	120	0	0	0
1	1	3.4175	-234	429	-234	429	-213.33	369.5	120	0	0	0
1	1	3.4341	-236	429	-236	429	-213.33	369.5	120	0	0	0
1	1	3.4508	-239	431	-239	431	-213.33	369.5	120	0	0	0
1	1	3.4675	-244	437	-244	437	-213.33	369.5	120	0	0	0
1	1	3.4842	-245	438	-245	438	-213.33	369.5	120	0	0	0
1	1	3.5008	-247	440	-247	440	-213.33	369.5	120	0	0	0
1	1	3.5175	-249	443	-249	443	-213.33	369.5	120	0	0	0
1	1	3.5342	-251	446	-251	446	-213.33	369.5	120	0	0	0
1	1	3.5509	-254	450	-254	450	-213.33	369.5	120	0	0	0
1	1	3.5676	-257	451	-257	451	-213.33	369.5	120	0	0	0
1	1	3.5842	-264	454	-264	454	-213.33	369.5	120	0	0	0
1	1	3.6009	-270	455	-270	455	-213.33	369.5	120	0	0	0
1	1	3.6175	-282	457	-282	457	-213.33	369.5	120	0	0	0
1	1	3.6342	-286	458	-286	458	-213.33	369.5	120	0	0	0
1	1	3.6509	-289	459	-289	459	-213.33	369.5	120	0	0	0
1	1	3.6676	-292	459	-292	459	-213.33	369.5	120	0	0	0
1	1	3.6842	-295	459	-295	459	-213.33	369.5	120	0	0	0
1	1	3.7009	-298	459	-298	459	-213.33	369.5	120	0	0	0
1	1	3.7176	-302	459	-302	459	-213.33	369.5	120	0	0	0
1	1	3.7342	-307	457	-307	457	-213.33	369.5	120	0	0	0
1	1	3.7509	-314	452	-314	452	-213.33	369.5	120	0	0	0
1	1	3.7676	-320	446	-320	446	-213.33	369.5	120	0	0	0
1	1	3.7842	-322	444	-322	444	-213.33	369.5	120	0	0	0
